customer_id,Date,WSKU,Connection Hours,Company
_id_1,14-01-2022,GC-PrmV-128SD-CU+NP-HRV,0.97,concentrix
_id_1,19-01-2022,GC-PrmV-128SD-CU+NP-HRV,0.43,concentrix
_id_1,24-01-2022,GC-PrmV-128SD-CU+NP-HRV,4.35,concentrix
_id_1,25-01-2022,GC-PrmV-128SD-CU+NP-HRV,0.43,concentrix
_id_1,27-01-2022,GC-PrmV-128SD-CU+NP-HRV,3.16,concentrix
_id_1,28-01-2022,GC-PrmV-128SD-CU+NP-HRV,18.82,concentrix
_id_1,29-01-2022,GC-PrmV-128SD-CU+NP-HRV,21.61,concentrix
_id_1,30-01-2022,GC-PrmV-128SD-CU+NP-HRV,10.52,concentrix
_id_1,31-01-2022,GC-PrmV-128SD-CU+NP-HRV,16.3,concentrix
_id_1,01-02-2022,GC-PrmV-128SD-CU+NP-HRV,15.68,concentrix
_id_1,02-02-2022,GC-PrmV-128SD-CU+NP-HRV,45.19,concentrix
_id_1,03-02-2022,GC-PrmV-128SD-CU+NP-HRV,46.75,concentrix
_id_1,04-02-2022,GC-PrmV-128SD-CU+NP-HRV,44.44,concentrix
_id_1,05-02-2022,GC-PrmV-128SD-CU+NP-HRV,29.51,concentrix
_id_1,06-02-2022,GC-PrmV-128SD-CU+NP-HRV,28.88,concentrix
_id_1,07-02-2022,GC-PrmV-128SD-CU+NP-HRV,1.07,concentrix
_id_1,08-02-2022,GC-PrmV-128SD-CU+NP-HRV,9.57,concentrix
_id_1,09-02-2022,GC-PrmV-128SD-CU+NP-HRV,39.92,concentrix
_id_1,10-02-2022,GC-PrmV-128SD-CU+NP-HRV,44.9,concentrix
_id_1,11-02-2022,GC-PrmV-128SD-CU+NP-HRV,54.97,concentrix
_id_1,12-02-2022,GC-PrmV-128SD-CU+NP-HRV,49.26,concentrix
_id_1,13-02-2022,GC-PrmV-128SD-CU+NP-HRV,35.02,concentrix
_id_1,14-02-2022,GC-PrmV-128SD-CU+NP-HRV,22.41,concentrix
_id_1,15-02-2022,GC-PrmV-128SD-CU+NP-HRV,36.37,concentrix
_id_1,16-02-2022,GC-PrmV-128SD-CU+NP-HRV,59.24,concentrix
_id_1,17-02-2022,GC-PrmV-128SD-CU+NP-HRV,48.53,concentrix
_id_1,18-02-2022,GC-PrmV-128SD-CU+NP-HRV,59.41,concentrix
_id_1,18-02-2022,GC-PwrV-128SD-CU+NP-HRV,3.33,concentrix
